doctor_id,login_hour,session_minutes,records_viewed,downloads,departments_accessed,failed_logins,unknown_device,external_ip,after_hours,export_all,label,created_at
DOC001,9.83,505.0,25,1,1,0,0,0,0,0,normal,2026-07-25 09:26:00
DOC001,9.61,429.0,25,3,1,0,0,0,0,0,normal,2026-07-25 09:53:00
DOC001,9.59,413.0,22,3,1,0,0,0,0,0,normal,2026-07-25 09:23:00
DOC001,10.12,409.0,28,1,1,0,0,0,0,0,normal,2026-07-24 10:02:00
DOC001,10.37,409.0,21,1,1,0,0,0,0,0,normal,2026-07-23 10:31:00
DOC001,9.83,460.0,23,2,1,0,0,0,0,0,normal,2026-07-23 09:16:00
DOC001,10.57,418.0,21,1,1,0,0,0,0,0,normal,2026-07-22 10:52:00
DOC001,10.45,427.0,26,2,1,0,0,0,0,0,normal,2026-07-21 10:25:00
DOC001,9.8,511.0,21,3,1,0,0,0,0,0,normal,2026-07-21 09:52:00
DOC001,9.56,420.0,19,1,1,0,0,0,0,0,normal,2026-07-20 09:11:00
DOC001,10.07,516.0,24,3,1,0,0,0,0,0,normal,2026-07-18 10:34:00
DOC001,9.62,425.0,27,1,1,0,0,0,0,0,normal,2026-07-18 09:51:00
DOC001,10.52,424.0,19,1,1,0,0,0,0,0,normal,2026-07-17 10:23:00
DOC001,9.75,422.0,22,1,1,0,0,0,0,0,normal,2026-07-16 09:11:00
DOC001,10.64,437.0,29,2,1,0,0,0,0,0,normal,2026-07-16 10:20:00
DOC001,10.56,420.0,26,1,1,0,0,0,0,0,normal,2026-07-15 10:53:00
DOC001,9.49,483.0,29,2,1,0,0,0,0,0,normal,2026-07-14 09:24:00
DOC001,9.8,486.0,26,1,1,0,0,0,0,0,normal,2026-07-13 09:05:00
DOC001,10.75,463.0,19,1,1,0,0,0,0,0,normal,2026-07-13 10:39:00
DOC001,10.42,440.0,18,1,1,0,0,0,0,0,normal,2026-07-11 10:38:00
DOC001,10.75,504.0,23,2,1,0,0,0,0,0,normal,2026-07-11 10:12:00
DOC001,10.38,430.0,22,3,1,0,0,0,0,0,normal,2026-07-10 10:45:00
DOC001,10.65,496.0,28,1,1,0,0,0,0,0,normal,2026-07-10 10:35:00
DOC001,9.43,449.0,22,3,1,0,0,0,0,0,normal,2026-07-10 09:29:00
DOC001,10.11,484.0,20,1,1,0,0,0,0,0,normal,2026-07-09 10:37:00
DOC001,10.45,458.0,27,2,1,0,0,0,0,0,normal,2026-07-09 10:04:00
DOC001,10.49,481.0,30,3,1,0,0,0,0,0,normal,2026-07-08 10:22:00
DOC001,9.6,506.0,27,2,1,0,0,0,0,0,normal,2026-07-08 09:50:00
DOC001,9.45,494.0,29,2,1,0,0,0,0,0,normal,2026-07-08 09:34:00
DOC001,10.76,476.0,28,1,1,0,0,0,0,0,normal,2026-07-07 10:37:00
DOC001,10.46,452.0,30,1,1,0,0,0,0,0,normal,2026-07-07 10:13:00
DOC001,10.01,434.0,24,3,1,0,0,0,0,0,normal,2026-07-06 10:04:00
DOC001,10.14,481.0,29,1,1,0,0,0,0,0,normal,2026-07-06 10:34:00
DOC001,9.77,423.0,25,3,1,0,0,0,0,0,normal,2026-07-06 09:42:00
DOC001,10.22,425.0,28,1,1,0,0,0,0,0,normal,2026-07-04 10:22:00
DOC001,9.41,494.0,20,3,1,0,0,0,0,0,normal,2026-07-04 09:56:00
DOC001,10.79,480.0,27,3,1,0,0,0,0,0,normal,2026-07-03 10:23:00
DOC001,10.5,451.0,24,1,1,0,0,0,0,0,normal,2026-07-03 10:05:00
DOC001,9.64,441.0,22,3,1,0,0,0,0,0,normal,2026-07-02 09:27:00
DOC001,10.29,467.0,23,1,1,0,0,0,0,0,normal,2026-07-02 10:20:00
DOC001,10.5,451.0,25,2,1,0,0,0,0,0,normal,2026-07-02 10:00:00
DOC001,10.56,505.0,20,3,1,0,0,0,0,0,normal,2026-07-01 10:21:00
DOC001,9.83,451.0,21,1,1,0,0,0,0,0,normal,2026-07-01 09:52:00
DOC001,9.9,406.0,20,3,1,0,0,0,0,0,normal,2026-06-30 09:40:00
DOC001,9.6,439.0,28,3,1,0,0,0,0,0,normal,2026-06-30 09:21:00
DOC001,10.68,436.0,26,1,1,0,0,0,0,0,normal,2026-06-29 10:21:00
DOC001,10.39,517.0,23,3,1,0,0,0,0,0,normal,2026-06-27 10:34:00
DOC001,10.4,430.0,22,2,1,0,0,0,0,0,normal,2026-06-27 10:57:00
DOC001,9.61,435.0,22,2,1,0,0,0,0,0,normal,2026-06-27 09:52:00
DOC001,10.22,451.0,26,2,1,0,0,0,0,0,normal,2026-06-26 10:09:00
DOC001,9.67,519.0,20,3,1,0,0,0,0,0,normal,2026-06-25 09:32:00
DOC001,10.08,482.0,18,3,1,0,0,0,0,0,normal,2026-06-25 10:26:00
DOC001,9.88,510.0,18,2,1,0,0,0,0,0,normal,2026-06-25 09:34:00
DOC001,9.94,424.0,26,3,1,0,0,0,0,0,normal,2026-06-24 09:46:00
DOC001,10.13,499.0,25,3,1,0,0,0,0,0,normal,2026-06-24 10:26:00
DOC001,10.15,437.0,24,2,1,0,0,0,0,0,normal,2026-06-23 10:07:00
DOC001,10.22,514.0,30,2,1,0,0,0,0,0,normal,2026-06-22 10:41:00
DOC001,10.61,467.0,29,2,1,0,0,0,0,0,normal,2026-06-22 10:16:00
DOC001,10.04,410.0,22,3,1,0,0,0,0,0,normal,2026-06-22 10:16:00
DOC001,10.67,459.0,19,1,1,0,0,0,0,0,normal,2026-06-20 10:35:00
DOC001,9.92,439.0,22,2,1,0,0,0,0,0,normal,2026-06-19 09:48:00
DOC001,9.66,469.0,26,3,1,0,0,0,0,0,normal,2026-06-19 09:09:00
DOC001,10.43,409.0,24,2,1,0,0,0,0,0,normal,2026-06-18 10:19:00
DOC001,10.18,508.0,21,1,1,0,0,0,0,0,normal,2026-06-18 10:48:00
DOC001,9.8,404.0,27,1,1,0,0,0,0,0,normal,2026-06-18 09:39:00
DOC001,10.27,462.0,28,1,1,0,0,0,0,0,normal,2026-06-17 10:47:00
DOC001,10.31,502.0,25,2,1,0,0,0,0,0,normal,2026-06-17 10:00:00
DOC001,10.52,435.0,27,1,1,0,0,0,0,0,normal,2026-06-16 10:11:00
DOC001,9.97,500.0,28,3,1,0,0,0,0,0,normal,2026-06-16 09:25:00
DOC001,10.19,407.0,20,2,1,0,0,0,0,0,normal,2026-06-16 10:36:00
DOC001,10.12,438.0,30,1,1,0,0,0,0,0,normal,2026-06-15 10:35:00
DOC001,9.56,468.0,23,1,1,0,0,0,0,0,normal,2026-06-13 09:19:00
DOC001,10.32,417.0,19,1,1,0,0,0,0,0,normal,2026-06-13 10:31:00
DOC001,10.21,411.0,18,3,1,0,0,0,0,0,normal,2026-06-13 10:22:00
DOC001,10.35,521.0,22,1,1,0,0,0,0,0,normal,2026-06-12 10:54:00
DOC001,10.58,482.0,29,1,1,0,0,0,0,0,normal,2026-06-12 10:35:00
DOC001,10.18,467.0,25,1,1,0,0,0,0,0,normal,2026-06-12 10:59:00
DOC001,10.32,414.0,20,3,1,0,0,0,0,0,normal,2026-06-11 10:02:00
DOC001,10.44,459.0,25,1,1,0,0,0,0,0,normal,2026-06-11 10:59:00
DOC001,10.6,475.0,28,1,1,0,0,0,0,0,normal,2026-06-11 10:42:00
DOC001,10.3,464.0,20,2,1,0,0,0,0,0,normal,2026-06-10 10:07:00
DOC001,10.35,453.0,19,3,1,0,0,0,0,0,normal,2026-06-10 10:22:00
DOC001,9.87,432.0,19,2,1,0,0,0,0,0,normal,2026-06-09 09:34:00
DOC001,10.19,466.0,25,2,1,0,0,0,0,0,normal,2026-06-08 10:48:00
DOC001,10.13,448.0,24,3,1,0,0,0,0,0,normal,2026-06-08 10:10:00
DOC001,10.56,435.0,23,2,1,0,0,0,0,0,normal,2026-06-08 10:14:00
DOC001,9.7,475.0,20,3,1,0,0,0,0,0,normal,2026-06-06 09:05:00
DOC001,9.98,409.0,28,3,1,0,0,0,0,0,normal,2026-06-06 09:51:00
DOC001,9.92,432.0,29,3,1,0,0,0,0,0,normal,2026-06-06 09:30:00
DOC001,10.03,504.0,20,2,1,0,0,0,0,0,normal,2026-06-05 10:06:00
DOC001,10.49,404.0,30,1,1,0,0,0,0,0,normal,2026-06-05 10:44:00
DOC001,9.87,481.0,20,2,1,0,0,0,0,0,normal,2026-06-04 09:49:00
DOC001,10.27,425.0,23,2,1,0,0,0,0,0,normal,2026-06-03 10:50:00
DOC001,9.47,405.0,25,2,1,0,0,0,0,0,normal,2026-06-03 09:40:00
DOC001,9.73,447.0,18,3,1,0,0,0,0,0,normal,2026-06-02 09:16:00
DOC001,10.78,465.0,27,1,1,0,0,0,0,0,normal,2026-06-01 10:20:00
DOC001,10.38,462.0,29,1,1,0,0,0,0,0,normal,2026-05-30 10:06:00
DOC001,9.94,441.0,30,2,1,0,0,0,0,0,normal,2026-05-30 09:31:00
DOC001,10.76,503.0,26,2,1,0,0,0,0,0,normal,2026-05-30 10:07:00
DOC001,9.41,422.0,19,1,1,0,0,0,0,0,normal,2026-05-29 09:20:00
DOC001,9.71,517.0,18,3,1,0,0,0,0,0,normal,2026-05-28 09:18:00
DOC001,9.78,518.0,27,2,1,0,0,0,0,0,normal,2026-05-27 09:57:00
DOC002,8.89,566.0,43,6,1,0,0,0,0,0,normal,2026-07-25 08:46:00
DOC002,8.23,550.0,48,4,1,0,0,0,0,0,normal,2026-07-24 08:47:00
DOC002,8.39,619.0,46,4,1,0,0,0,0,0,normal,2026-07-23 08:44:00
DOC002,8.76,561.0,50,5,1,0,0,0,0,0,normal,2026-07-23 08:31:00
DOC002,8.4,567.0,42,5,1,0,0,0,0,0,normal,2026-07-22 08:26:00
DOC002,8.16,618.0,40,4,1,0,0,0,0,0,normal,2026-07-22 08:47:00
DOC002,9.13,562.0,45,6,1,0,0,0,0,0,normal,2026-07-21 09:25:00
DOC002,8.31,609.0,44,4,1,0,0,0,0,0,normal,2026-07-20 08:37:00
DOC002,8.57,583.0,43,5,1,0,0,0,0,0,normal,2026-07-20 08:27:00
DOC002,8.84,624.0,42,5,1,0,0,0,0,0,normal,2026-07-20 08:07:00
DOC002,9.12,590.0,46,6,1,0,0,0,0,0,normal,2026-07-18 09:41:00
DOC002,9.1,632.0,40,6,1,0,0,0,0,0,normal,2026-07-18 09:05:00
DOC002,8.36,626.0,44,5,1,0,0,0,0,0,normal,2026-07-18 08:04:00
DOC002,8.29,529.0,41,4,1,0,0,0,0,0,normal,2026-07-17 08:53:00
DOC002,8.74,525.0,42,6,1,0,0,0,0,0,normal,2026-07-17 08:19:00
DOC002,8.62,563.0,50,4,1,0,0,0,0,0,normal,2026-07-17 08:58:00
DOC002,8.69,537.0,46,6,1,0,0,0,0,0,normal,2026-07-16 08:59:00
DOC002,9.04,542.0,48,6,1,0,0,0,0,0,normal,2026-07-16 09:58:00
DOC002,8.67,625.0,41,4,1,0,0,0,0,0,normal,2026-07-15 08:40:00
DOC002,8.04,582.0,44,6,1,0,0,0,0,0,normal,2026-07-15 08:26:00
DOC002,8.46,586.0,43,4,1,0,0,0,0,0,normal,2026-07-15 08:38:00
DOC002,8.79,598.0,48,5,1,0,0,0,0,0,normal,2026-07-14 08:42:00
